catalogNumber,FAMILY,GENUS,SPECIES,SUBSPECIES,aisle,shelving_unit,shelf
ZMH-ANN-V06177,Phascolosomatidae,Phascolosoma,scolops,,1,4,1
ZMH-ANN-V08840,Phascolosomatidae,Phascolosoma,scolops,,1,4,1
ZMH-ANN-V08842,Phascolosomatidae,Phascolosoma,scolops,,1,4,1
ZMH-ANN-V09135,Phascolosomatidae,Phascolosoma,scolops,,1,4,1
ZMH-ANN-V10277,Phascolosomatidae,Phascolosoma,scolops,,1,4,1
ZMH-ANN-V10626,Phascolosomatidae,Phascolosoma,scolops,,1,4,1
ZMH-ANN-V10965,Phascolosomatidae,Phascolosoma,scolops,,1,4,1
ZMH-ANN-V11655,Phascolosomatidae,Phascolosoma,scolops,,1,4,1
ZMH-ANN-V02034,Phascolosomatidae,Phascolosoma,stephensoni,,1,4,1
ZMH-ANN-V02096,Phascolosomatidae,Phascolosoma,stephensoni,,1,4,1
ZMH-ANN-V03644,Phascolosomatidae,Phascolosoma,stephensoni,,1,4,1
ZMH-ANN-V08918,Phascolosomatidae,Phascolosoma,stephensoni,,1,4,1
ZMH-ANN-V08919,Phascolosomatidae,Phascolosoma,stephensoni,,1,4,1
ZMH-ANN-V09622,Phascolosomatidae,Phascolosoma,stephensoni,,1,4,1
ZMH-ANN-V10541,Phascolosomatidae,Phascolosoma,stephensoni,,1,4,1
ZMH-ANN-V10542,Phascolosomatidae,Phascolosoma,stephensoni,,1,4,1
ZMH-ANN-V10543,Phascolosomatidae,Phascolosoma,stephensoni,,1,4,1
ZMH-ANN-V09136,Phascolosomatidae,Phascolosoma,varians,,1,4,1
ZMH-ANN-V05856,Phascolosomatidae,Physcosoma,albolineatum,,1,4,1
ZMH-ANN-V07227,Phascolosomatidae,Physcosoma,albolineatum,,1,4,1
ZMH-ANN-V09137,Phascolosomatidae,Physcosoma,albolineatum,,1,4,1
ZMH-ANN-V10651,Phascolosomatidae,Physcosoma,albolineatum,,1,4,1
ZMH-ANN-V10964,Phascolosomatidae,Physcosoma,albolineatum,,1,4,1
ZMH-ANN-V02032,Phascolosomatidae,Thysanocardia,catharinae,,1,4,1
ZMH-ANN-V13245a,Sipunculidae,Siphonosoma,arcassonense,,1,4,1
ZMH-ANN-V02076,Sipunculidae,Siphonosoma,australe,australe,1,4,1
ZMH-ANN-V03423,Sipunculidae,Siphonosoma,australe,australe,1,4,1
ZMH-ANN-V05419,Sipunculidae,Siphonosoma,australe,australe,1,4,1
ZMH-ANN-V02050,Sipunculidae,Siphonosoma,boholense,,1,4,1
ZMH-ANN-V02115,Sipunculidae,Siphonosoma,boholense,,1,4,2
ZMH-ANN-V02051,Sipunculidae,Siphonosoma,cumanense,,1,4,2
ZMH-ANN-V02059,Sipunculidae,Siphonosoma,cumanense,,1,4,2
ZMH-ANN-V02067,Sipunculidae,Siphonosoma,cumanense,,1,4,2
ZMH-ANN-V02074,Sipunculidae,Siphonosoma,cumanense,,1,4,2
ZMH-ANN-V03414,Sipunculidae,Siphonosoma,cumanense,,1,4,2
ZMH-ANN-V10538,Sipunculidae,Siphonosoma,cumanense,,1,4,2
ZMH-ANN-V10967,Sipunculidae,Siphonosoma,cumanense,,1,4,2
ZMH-ANN-V05392,Sipunculidae,Siphonosoma,funafuti,,1,4,2
ZMH-ANN-V05391,Sipunculidae,Siphonosoma,rotumanum,,1,4,2
ZMH-ANN-V02000,Sipunculidae,Sipunculus,indicus,,1,4,2
ZMH-ANN-V02046,Sipunculidae,Sipunculus,indicus,,1,4,2
ZMH-ANN-V04597,Sipunculidae,Sipunculus,indicus,,1,4,2
ZMH-ANN-V05420,Sipunculidae,Sipunculus,indicus,,1,4,2
ZMH-ANN-V06228,Sipunculidae,Sipunculus,indicus,,1,4,2
ZMH-ANN-V07417,Sipunculidae,Sipunculus,indicus,,1,4,2
ZMH-ANN-V013245b,Sipunculidae,Sipunculus,aff. norvegicus,,1,4,2
ZMH-ANN-V05853,Sipunculidae,Sipunculus,norvegicus,,1,4,2
ZMH-ANN-V02029,Sipunculidae,Sipunculus,nudus,,1,4,2
ZMH-ANN-V02102,Sipunculidae,Sipunculus,nudus,,1,4,2
ZMH-ANN-V02105,Sipunculidae,Sipunculus,nudus,,1,4,2
ZMH-ANN-V02110,Sipunculidae,Sipunculus,nudus,,1,4,2
ZMH-ANN-V02113,Sipunculidae,Sipunculus,nudus,,1,4,2
ZMH-ANN-V02114,Sipunculidae,Sipunculus,nudus,,1,4,2
ZMH-ANN-V02132,Sipunculidae,Sipunculus,nudus,,1,4,2
ZMH-ANN-V05433,Sipunculidae,Sipunculus,nudus,,1,4,2
ZMH-ANN-V06376,Sipunculidae,Sipunculus,nudus,,1,4,3
ZMH-ANN-V06946,Sipunculidae,Sipunculus,nudus,,1,4,3
ZMH-ANN-V07718,Sipunculidae,Sipunculus,nudus,,1,4,3
ZMH-ANN-V12630,Sipunculidae,Sipunculus,nudus,,1,4,3
ZMH-ANN-V13254,Sipunculidae,Sipunculus,nudus,,1,4,3
ZMH-ANN-V07435,Sipunculidae,Sipunculus,phalloides,phalloides,1,4,3
ZMH-ANN-V02057,Sipunculidae,Sipunculus,phalloides,,1,4,3
ZMH-ANN-V02099,Sipunculidae,Sipunculus,phalloides,,1,4,3
ZMH-ANN-V02073,Sipunculidae,Sipunculus,robustus,,1,4,3
ZMH-ANN-V02081,Sipunculidae,Sipunculus,robustus,,1,4,3
ZMH-ANN-V02089,Sipunculidae,Sipunculus,robustus,,1,4,3
ZMH-ANN-V02097,Sipunculidae,Sipunculus,robustus,,1,4,3
ZMH-ANN-V08172,Sipunculidae,Sipunculus,,,1,4,3
ZMH-ANN-V13246,Sipunculidae,Sipunculus,,,1,4,3
ZMH-ANN-V02101,Sipunculidae,Xenosiphon,branchiatus,,1,4,3
ZMH-ANN-V02056,Themistidae,Themiste,alutacea,,1,4,3
ZMH-ANN-V06184,Themistidae,Themiste,hennahi,,1,4,3
ZMH-ANN-V02052,Themistidae,Themiste,lageniformis,,1,4,3
ZMH-ANN-V02079,Themistidae,Themiste,lageniformis,,1,4,3
ZMH-ANN-V05400,Themistidae,Themiste,lageniformis,,1,4,3
ZMH-ANN-V05406,Themistidae,Themiste,lageniformis,,1,4,3
ZMH-ANN-V08909,Themistidae,Themiste,lageniformis,,1,4,3
ZMH-ANN-V08910,Themistidae,Themiste,lageniformis,,1,4,3
ZMH-ANN-V08927,Themistidae,Themiste,lageniformis,,1,4,3
ZMH-ANN-V10018,,Sipunculida,,,1,4,3
ZMH-ANN-V13145,,Sipunculida,,,1,4,3
ZMH-ANN-V13146,,Sipunculida,,,1,4,3
ZMH-ANN-V13147,,Sipunculida,,,1,4,3
ZMH-ANN-V13148,,Sipunculida,,,1,4,3
ZMH-ANN-V13149,,Sipunculida,,,1,4,3
ZMH-ANN-V08908,Bonelliidae,Archibonellia,michaelseni,,1,4,4
ZMH-ANN-V02109,Bonelliidae,Bonellia,viridis,,1,4,4
ZMH-ANN-V05754,Bonelliidae,Bonellia,viridis,,1,4,4
ZMH-ANN-V05956,Bonelliidae,Bonellia,viridis,,1,4,4
ZMH-ANN-V09977,Bonelliidae,Bonellia,viridis,,1,4,4
ZMH-ANN-V12899,Bonelliidae,Bonellia,viridis,,1,4,4
ZMH-ANN-V05849,Bonelliidae,Hamingia,arctica,,1,4,4
ZMH-ANN-V09630,Echiuridae,Echiurus,abyssalis,,1,4,4
ZMH-ANN-V02125,Echiuridae,Echiurus,echiurus,,1,4,4
ZMH-ANN-V05732,Echiuridae,Echiurus,echiurus,,1,4,4
ZMH-ANN-V06874,Echiuridae,Echiurus,echiurus,,1,4,4
ZMH-ANN-V02092,Echiuridae,Echiurus,sitchaensis,,1,4,4
ZMH-ANN-V02084,Thalassematidae,Anelassorhynchus,moebii,,1,4,4
ZMH-ANN-V05733,Thalassematidae,Anelassorhynchus,moebii,,1,4,4
ZMH-ANN-V09623,Thalassematidae,Anelassorhynchus,moebii,,1,4,4
ZMH-ANN-V02071,Thalassematidae,Anelassorhynchus,semoni,,1,4,4
ZMH-ANN-V05421,Thalassematidae,Ochetostoma,baroni,,1,4,4
ZMH-ANN-V05716,Thalassematidae,Ochetostoma,baroni,,1,4,4
ZMH-ANN-V01993,Thalassematidae,Ochetostoma,erythrogrammon,,1,4,4
ZMH-ANN-V01994,Thalassematidae,Ochetostoma,erythrogrammon,,1,4,4
ZMH-ANN-V01995,Thalassematidae,Ochetostoma,erythrogrammon,,1,4,4
ZMH-ANN-V01996,Thalassematidae,Ochetostoma,erythrogrammon,,1,4,4
ZMH-ANN-V02002,Thalassematidae,Ochetostoma,erythrogrammon,,1,4,4
ZMH-ANN-V10539,Thalassematidae,Ochetostoma,erythrogrammon,,1,4,4
ZMH-ANN-V08005,Thalassematidae,Ochetostoma,multilineatum,,1,4,4
ZMH-ANN-V02035,Thalassematidae,Ochetostoma,pellucidum,,1,4,4
ZMH-ANN-V02030,Thalassematidae,Ochetostoma,pelludicum,,1,4,4
ZMH-ANN-V07388,Thalassematidae,Thalassema,thalassema,,1,4,4
ZMH-ANN-V02933,Urechidae,Urechis,chilensis,,1,4,4
ZMH-ANN-V04316,Urechidae,Urechis,chilensis,,1,4,5
ZMH-ANN-V04504,Urechidae,Urechis,chilensis,,1,4,5
ZMH-ANN-V05500,Urechidae,Urechis,chilensis,,1,4,5
ZMH-ANN-V05734,Urechidae,Urechis,chilensis,,1,4,5
ZMH-ANN-V06072,Urechidae,Urechis,chilensis,,1,4,5
ZMH-ANN-V08098,Urechidae,Urechis,chilensis,,1,4,5
ZMH-ANN-V02118,Urechidae,Urechis,unicinctus,,1,4,5
ZMH-ANN-V04604,Urechidae,Urechis,unicinctus,,1,4,5
ZMH-ANN-P19801,Dorvilleidae,Anchidorvillea,moniliformis,,1,4,5
ZMH-ANN-P18232,Dorvilleidae,Arenotrocha,minuta,,1,4,5
ZMH-ANN-P20714,Dorvilleidae,Coralliotrocha,composita,,1,4,5
ZMH-ANN-P20715,Dorvilleidae,Coralliotrocha,composita,,1,4,5
ZMH-ANN-P20716,Dorvilleidae,Coralliotrocha,composita,,1,4,5
ZMH-ANN-P20717,Dorvilleidae,Coralliotrocha,composita,,1,4,5
ZMH-ANN-P20718,Dorvilleidae,Coralliotrocha,composita,,1,4,5
ZMH-ANN-V00886,Dorvilleidae,Dorvillea,angolana,,1,4,5
ZMH-ANN-V08680,Dorvilleidae,Dorvillea,angolana,,1,4,5
ZMH-ANN-V08692,Dorvilleidae,Dorvillea,angolana,,1,4,5
ZMH-ANN-V09045,Dorvilleidae,Dorvillea,angolana,,1,4,5
ZMH-ANN-V09256,Dorvilleidae,Dorvillea,angolana,,1,4,5
ZMH-ANN-V10341,Dorvilleidae,Dorvillea,angolana,,1,4,5
ZMH-ANN-V10683,Dorvilleidae,Dorvillea,angolana,,1,4,5
ZMH-ANN-V12664,Dorvilleidae,Dorvillea,angolana,,1,4,5
ZMH-ANN-V08002,Dorvilleidae,Dorvillea,australiensis,,1,4,5
ZMH-ANN-V08003,Dorvilleidae,Dorvillea,australiensis,,1,4,5
ZMH-ANN-V08004,Dorvilleidae,Dorvillea,australiensis,,1,4,5
ZMH-ANN-V09442,Dorvilleidae,Dorvillea,australiensis,,1,4,5
ZMH-ANN-V09498,Dorvilleidae,Dorvillea,australiensis,,1,4,5
ZMH-ANN-V09533,Dorvilleidae,Dorvillea,australiensis,,1,4,5
ZMH-ANN-V10072,Dorvilleidae,Dorvillea,australiensis,,1,4,5
ZMH-ANN-V10083,Dorvilleidae,Dorvillea,australiensis,,1,4,5
ZMH-ANN-V10410,Dorvilleidae,Dorvillea,australiensis,,1,4,5
ZMH-ANN-PE0842,Dorvilleidae,Dorvillea,cerasina,,1,4,5
ZMH-ANN-V09246,Dorvilleidae,Dorvillea,cerasina,,1,4,5
ZMH-ANN-P14825,Dorvilleidae,Dorvillea,cerasina,,1,4,5
ZMH-ANN-P14826,Dorvilleidae,Dorvillea,cerasina,,1,4,5
ZMH-ANN-V12588,Dorvilleidae,Dorvillea,moniloceras,,1,4,5
ZMH-ANN-P14827,Dorvilleidae,Dorvillea,moniloceras,,1,4,6
ZMH-ANN-P14842,Dorvilleidae,Dorvillea,mossambica,,1,4,6
ZMH-ANN-PE0838,Dorvilleidae,Dorvillea,roemeri,,1,4,6
ZMH-ANN-V00882,Dorvilleidae,Dorvillea,rubrovittata,,1,4,6
ZMH-ANN-V00884,Dorvilleidae,Dorvillea,rubrovittata,,1,4,6
ZMH-ANN-V05694,Dorvilleidae,Dorvillea,rubrovittata,,1,4,6
ZMH-ANN-V08678,Dorvilleidae,Dorvillea,rubrovittata,,1,4,6
ZMH-ANN-V08679,Dorvilleidae,Dorvillea,rubrovittata,,1,4,6
ZMH-ANN-P13781,Dorvilleidae,Dorvillea,rubrovittata,,1,4,6
ZMH-ANN-P17211,Dorvilleidae,Dorvillea,rubrovittata,,1,4,6
ZMH-ANN-P17288,Dorvilleidae,Dorvillea,rubrovittata,,1,4,6
ZMH-ANN-P17289,Dorvilleidae,Dorvillea,rubrovittata,,1,4,6
ZMH-ANN-P17375,Dorvilleidae,Dorvillea,rubrovittata,,1,4,6
ZMH-ANN-P17418,Dorvilleidae,Dorvillea,rubrovittata,,1,4,6
ZMH-ANN-P17753,Dorvilleidae,Dorvillea,rubrovittata,,1,4,6
ZMH-ANN-P20330,Dorvilleidae,Dorvillea,similis,,1,4,6
ZMH-ANN-P21186,Dorvilleidae,Dorvillea,similis,,1,4,6
ZMH-ANN-PE0841-A,Dorvilleidae,Dorvillea,,,1,4,6
ZMH-ANN-PE0843,Dorvilleidae,Dorvillea,,,1,4,6
ZMH-ANN-V03250,Dorvilleidae,Dorvillea,,,1,4,6
ZMH-ANN-P16886,Dorvilleidae,Dorvillea,,,1,4,6
ZMH-ANN-P18938,Dorvilleidae,Dorvillea,,,1,4,6
ZMH-ANN-P19922,Dorvilleidae,Exallopus,intermedius,,1,4,6
ZMH-ANN-V12711,Dorvilleidae,Iphitime,doederleini,,1,4,6
ZMH-ANN-P14840,Dorvilleidae,Meiodorvillea,chilensis,,1,4,6
ZMH-ANN-P20470,Dorvilleidae,Microdorvillea,phuketensis,,1,4,6
ZMH-ANN-P19796,Dorvilleidae,Ophryotrocha,atlantica,,1,4,6
ZMH-ANN-P19795,Dorvilleidae,Ophryotrocha,bifida,,1,4,6
ZMH-ANN-P19521,Dorvilleidae,Ophryotrocha,claparedei,,1,4,6
ZMH-ANN-P20101,Dorvilleidae,Ophryotrocha,claparedei,,1,4,6
ZMH-ANN-P20102,Dorvilleidae,Ophryotrocha,claparedei,,1,4,6
ZMH-ANN-P20331,Dorvilleidae,Ophryotrocha,claparedei,,1,4,6
ZMH-ANN-P23196,Dorvilleidae,Ophryotrocha,cosmetandra,,1,4,6
ZMH-ANN-P23197,Dorvilleidae,Ophryotrocha,cosmetandra,,1,4,6
ZMH-ANN-P23198,Dorvilleidae,Ophryotrocha,cosmetandra,,1,4,6
ZMH-ANN-P23207,Dorvilleidae,Ophryotrocha,cosmetandra,,1,4,6
ZMH-ANN-P23208,Dorvilleidae,Ophryotrocha,cosmetandra,,1,4,6
ZMH-ANN-P23209,Dorvilleidae,Ophryotrocha,cosmetandra,,1,4,6
ZMH-ANN-P23215,Dorvilleidae,Ophryotrocha,cosmetandra,,1,4,6
ZMH-ANN-P23216,Dorvilleidae,Ophryotrocha,cosmetandra,,1,4,6
ZMH-ANN-P23217,Dorvilleidae,Ophryotrocha,cosmetandra,,1,4,6
ZMH-ANN-P23218,Dorvilleidae,Ophryotrocha,cosmetandra,,1,4,6
ZMH-ANN-P23219,Dorvilleidae,Ophryotrocha,cosmetandra,,1,4,6
ZMH-ANN-P23220,Dorvilleidae,Ophryotrocha,cosmetandra,,1,4,6
ZMH-ANN-P23221,Dorvilleidae,Ophryotrocha,cosmetandra,,1,4,6
ZMH-ANN-P23222,Dorvilleidae,Ophryotrocha,cosmetandra,,1,4,6
ZMH-ANN-P23223,Dorvilleidae,Ophryotrocha,cosmetandra,,1,4,6
ZMH-ANN-P23662,Dorvilleidae,Ophryotrocha,cosmetandra,,1,4,6
ZMH-ANN-P13311,Dorvilleidae,Ophryotrocha,dubia,,1,4,6
ZMH-ANN-P13328,Dorvilleidae,Ophryotrocha,gerlachi,,1,4,6
ZMH-ANN-P24392,Dorvilleidae,Ophryotrocha,gerlachi,,1,4,6
ZMH-ANN-P14829,Dorvilleidae,Ophryotrocha,gracilis,,1,4,6
ZMH-ANN-P16255,Dorvilleidae,Ophryotrocha,gracilis,,1,4,6
ZMH-ANN-P16256,Dorvilleidae,Ophryotrocha,gracilis,,1,4,6
ZMH-ANN-P16257,Dorvilleidae,Ophryotrocha,gracilis,,1,4,6
ZMH-ANN-P16258,Dorvilleidae,Ophryotrocha,gracilis,,1,4,6
ZMH-ANN-P16259,Dorvilleidae,Ophryotrocha,gracilis,,1,4,6
ZMH-ANN-P16260,Dorvilleidae,Ophryotrocha,gracilis,,1,4,6
ZMH-ANN-P16261,Dorvilleidae,Ophryotrocha,gracilis,,1,4,6
ZMH-ANN-P16262,Dorvilleidae,Ophryotrocha,gracilis,,1,4,6
ZMH-ANN-P16263,Dorvilleidae,Ophryotrocha,gracilis,,1,4,7
ZMH-ANN-P16264,Dorvilleidae,Ophryotrocha,gracilis,,1,4,7
ZMH-ANN-P16265,Dorvilleidae,Ophryotrocha,gracilis,,1,4,7
ZMH-ANN-P16266,Dorvilleidae,Ophryotrocha,gracilis,,1,4,7
ZMH-ANN-P16267,Dorvilleidae,Ophryotrocha,gracilis,,1,4,7
ZMH-ANN-P16268,Dorvilleidae,Ophryotrocha,gracilis,,1,4,7
ZMH-ANN-P19356,Dorvilleidae,Ophryotrocha,gracilis,,1,4,7
ZMH-ANN-P19357,Dorvilleidae,Ophryotrocha,gracilis,,1,4,7
ZMH-ANN-P19358,Dorvilleidae,Ophryotrocha,gracilis,,1,4,7
ZMH-ANN-P23224,Dorvilleidae,Ophryotrocha,gracilis,,1,4,7
ZMH-ANN-P19793,Dorvilleidae,Ophryotrocha,labidion,,1,4,7
ZMH-ANN-P14834,Dorvilleidae,Ophryotrocha,labronica,,1,4,7
ZMH-ANN-P14835,Dorvilleidae,Ophryotrocha,labronica,,1,4,7
ZMH-ANN-P14836,Dorvilleidae,Ophryotrocha,labronica,,1,4,7
ZMH-ANN-P19789,Dorvilleidae,Ophryotrocha,maciolekae,,1,4,7
ZMH-ANN-P19792,Dorvilleidae,Ophryotrocha,mandibulata,,1,4,7
ZMH-ANN-V08574,Dorvilleidae,Ophryotrocha,notialis,,1,4,7
ZMH-ANN-V08575,Dorvilleidae,Ophryotrocha,notialis,,1,4,7
ZMH-ANN-P24327,Dorvilleidae,Ophryotrocha,notialis,,1,4,7
ZMH-ANN-P27310,Dorvilleidae,Ophryotrocha,notialis,,1,4,7
ZMH-ANN-P20700,Dorvilleidae,Ophryotrocha,notoglandulata,,1,4,7
ZMH-ANN-P21185,Dorvilleidae,Ophryotrocha,notoglandulata,,1,4,7
ZMH-ANN-P21897,Dorvilleidae,Ophryotrocha,notoglandulata,,1,4,7
ZMH-ANN-P21898,Dorvilleidae,Ophryotrocha,notoglandulata,,1,4,7
ZMH-ANN-P21899,Dorvilleidae,Ophryotrocha,notoglandulata,,1,4,7
ZMH-ANN-P21900,Dorvilleidae,Ophryotrocha,notoglandulata,,1,4,7
ZMH-ANN-P21901,Dorvilleidae,Ophryotrocha,notoglandulata,,1,4,7
ZMH-ANN-P19794,Dorvilleidae,Ophryotrocha,obtusa,,1,4,7
ZMH-ANN-P19791,Dorvilleidae,Ophryotrocha,pachysoma,,1,4,7
ZMH-ANN-P19790,Dorvilleidae,Ophryotrocha,paralabidion,,1,4,7
ZMH-ANN-PE0844,Dorvilleidae,Ophryotrocha,puerilis,,1,4,7
ZMH-ANN-V01921,Dorvilleidae,Ophryotrocha,puerilis,,1,4,7
ZMH-ANN-V04051,Dorvilleidae,Ophryotrocha,puerilis,,1,4,7
ZMH-ANN-V09121,Dorvilleidae,Ophryotrocha,puerilis,,1,4,7
ZMH-ANN-V09126,Dorvilleidae,Ophryotrocha,puerilis,,1,4,7
ZMH-ANN-V11912,Dorvilleidae,Ophryotrocha,puerilis,,1,4,7
ZMH-ANN-V12268,Dorvilleidae,Ophryotrocha,puerilis,,1,4,7
ZMH-ANN-P23193,Dorvilleidae,Ophryotrocha,scarlatoi,,1,4,7
ZMH-ANN-P23194,Dorvilleidae,Ophryotrocha,scarlatoi,,1,4,7
ZMH-ANN-P23200,Dorvilleidae,Ophryotrocha,scarlatoi,,1,4,7
ZMH-ANN-P23210,Dorvilleidae,Ophryotrocha,scarlatoi,,1,4,7
ZMH-ANN-P23211,Dorvilleidae,Ophryotrocha,scarlatoi,,1,4,7
ZMH-ANN-P23212,Dorvilleidae,Ophryotrocha,scarlatoi,,1,4,7
ZMH-ANN-P23213,Dorvilleidae,Ophryotrocha,scarlatoi,,1,4,7
ZMH-ANN-P23214,Dorvilleidae,Ophryotrocha,scarlatoi,,1,4,7
ZMH-ANN-P14837,Dorvilleidae,Ophryotrocha,siberti,,1,4,7
ZMH-ANN-P17543,Dorvilleidae,Ophryotrocha,siberti,,1,4,7
ZMH-ANN-P26121,Dorvilleidae,Ophryotrocha,sp. 1,,1,4,7
ZMH-ANN-P26126,Dorvilleidae,Ophryotrocha,sp. 1,,1,4,7
ZMH-ANN-P26200,Dorvilleidae,Ophryotrocha,sp. 1,,1,4,7
ZMH-ANN-P26232,Dorvilleidae,Ophryotrocha,sp. 1,,1,4,7
ZMH-ANN-P26258,Dorvilleidae,Ophryotrocha,sp. 1,,1,4,7
ZMH-ANN-P26231,Dorvilleidae,Ophryotrocha,sp. 2,,1,4,7
ZMH-ANN-P26250,Dorvilleidae,Ophryotrocha,sp. 2,,1,4,7
ZMH-ANN-P27066,Dorvilleidae,Ophryotrocha,sp. 2,,1,4,7
ZMH-ANN-P27067,Dorvilleidae,Ophryotrocha,sp. 2,,1,4,7
ZMH-ANN-P27068,Dorvilleidae,Ophryotrocha,sp. 2,,1,4,7
ZMH-ANN-P18579,Dorvilleidae,Ophryotrocha,tridentata,,1,4,7
ZMH-ANN-P14838,Dorvilleidae,Ophryotrocha,,,1,4,7
ZMH-ANN-P20469,Dorvilleidae,Parapodrilus,indicus,,1,4,7
ZMH-ANN-P19800,Dorvilleidae,Parophryotrocha,gesae,,1,4,8
ZMH-ANN-P19003,Dorvilleidae,Parougia,furcata,,1,4,8
ZMH-ANN-P19524,Dorvilleidae,Parougia,furcata,,1,4,8
ZMH-ANN-P19525,Dorvilleidae,Parougia,furcata,,1,4,8
ZMH-ANN-P19526,Dorvilleidae,Parougia,furcata,,1,4,8
ZMH-ANN-P19527,Dorvilleidae,Parougia,furcata,,1,4,8
ZMH-ANN-P20755,Dorvilleidae,Parougia,furcata,,1,4,8
ZMH-ANN-P20756,Dorvilleidae,Parougia,furcata,,1,4,8
ZMH-ANN-P20757,Dorvilleidae,Parougia,furcata,,1,4,8
ZMH-ANN-P20758,Dorvilleidae,Parougia,furcata,,1,4,8
ZMH-ANN-P21879,Dorvilleidae,Parougia,furcata,,1,4,8
ZMH-ANN-P21880,Dorvilleidae,Parougia,furcata,,1,4,8
ZMH-ANN-P21881,Dorvilleidae,Parougia,furcata,,1,4,8
ZMH-ANN-P21882,Dorvilleidae,Parougia,furcata,,1,4,8
ZMH-ANN-P21883,Dorvilleidae,Parougia,furcata,,1,4,8
ZMH-ANN-P21884,Dorvilleidae,Parougia,furcata,,1,4,8
ZMH-ANN-P21885,Dorvilleidae,Parougia,furcata,,1,4,8
ZMH-ANN-P21886,Dorvilleidae,Parougia,furcata,,1,4,8
ZMH-ANN-P21887,Dorvilleidae,Parougia,furcata,,1,4,8
ZMH-ANN-P21888,Dorvilleidae,Parougia,furcata,,1,4,8
ZMH-ANN-P21902,Dorvilleidae,Parougia,furcata,,1,4,8
ZMH-ANN-P23195,Dorvilleidae,Parougia,nigridentata,,1,4,8
ZMH-ANN-P23199,Dorvilleidae,Parougia,nigridentata,,1,4,8
ZMH-ANN-P23201,Dorvilleidae,Parougia,nigridentata,,1,4,8
ZMH-ANN-P23202,Dorvilleidae,Parougia,nigridentata,,1,4,8
ZMH-ANN-P23203,Dorvilleidae,Parougia,nigridentata,,1,4,8
ZMH-ANN-P23204,Dorvilleidae,Parougia,nigridentata,,1,4,8
ZMH-ANN-P23205,Dorvilleidae,Parougia,nigridentata,,1,4,8
ZMH-ANN-P23206,Dorvilleidae,Parougia,nigridentata,,1,4,8
ZMH-ANN-P24243,Dorvilleidae,Parougia,oregonensis,,1,4,8
ZMH-ANN-P18611,Dorvilleidae,Petrocha,notogaea,,1,4,8
ZMH-ANN-P20326,Dorvilleidae,Pettiboneia,bathyalis,,1,4,8
ZMH-ANN-P20327,Dorvilleidae,Pettiboneia,bathyalis,,1,4,8
ZMH-ANN-P20324,Dorvilleidae,Pettiboneia,brevipalpa,,1,4,8
ZMH-ANN-P20325,Dorvilleidae,Pettiboneia,brevipalpa,,1,4,8
ZMH-ANN-P21889,Dorvilleidae,Pettiboneia,hartmanae,,1,4,8
ZMH-ANN-P21890,Dorvilleidae,Pettiboneia,hartmanae,,1,4,8
ZMH-ANN-P21891,Dorvilleidae,Pettiboneia,hartmanae,,1,4,8
ZMH-ANN-P21892,Dorvilleidae,Pettiboneia,hartmanae,,1,4,8
ZMH-ANN-P21893,Dorvilleidae,Pettiboneia,hartmanae,,1,4,8
ZMH-ANN-P19804,Dorvilleidae,Pettiboneia,sanmatiensis,,1,4,8
ZMH-ANN-P15540,Dorvilleidae,Protodorvillea,bifida,,1,4,8
ZMH-ANN-P15541,Dorvilleidae,Protodorvillea,bifida,,1,4,8
ZMH-ANN-V08753,Dorvilleidae,Protodorvillea,egena,,1,4,8
ZMH-ANN-V08792,Dorvilleidae,Protodorvillea,egena,,1,4,8
ZMH-ANN-V13021,Dorvilleidae,Protodorvillea,egena,,1,4,8
ZMH-ANN-P14828,Dorvilleidae,Protodorvillea,egena,,1,4,8
ZMH-ANN-P14839,Dorvilleidae,Protodorvillea,egena,,1,4,8
ZMH-ANN-P14831,Dorvilleidae,Protodorvillea,kefersteini,,1,4,8
ZMH-ANN-P14832,Dorvilleidae,Protodorvillea,kefersteini,,1,4,8
ZMH-ANN-P14833,Dorvilleidae,Protodorvillea,kefersteini,,1,4,8
ZMH-ANN-P19522,Dorvilleidae,Protodorvillea,kefersteini,,1,4,8
ZMH-ANN-P19523,Dorvilleidae,Protodorvillea,kefersteini,,1,4,8
ZMH-ANN-P21894,Dorvilleidae,Protodorvillea,kefersteini,,1,4,8
ZMH-ANN-P21895,Dorvilleidae,Protodorvillea,kefersteini,,1,4,8
ZMH-ANN-P21896,Dorvilleidae,Protodorvillea,kefersteini,,1,4,8
ZMH-ANN-P21981,Dorvilleidae,Protodorvillea,kefersteini,,1,4,8
ZMH-ANN-P21982,Dorvilleidae,Protodorvillea,kefersteini,,1,4,8
ZMH-ANN-P19798,Dorvilleidae,Pseudophryotrocha,eugenei,,1,4,8
ZMH-ANN-P19799,Dorvilleidae,Pseudophryotrocha,gracilis,,1,4,8
ZMH-ANN-P19797,Dorvilleidae,Pseudophryotrocha,serrata,,1,5,1
ZMH-ANN-P18233,Dorvilleidae,Pusillotrocha,akessoni,,1,5,1
ZMH-ANN-PE0836,Dorvilleidae,Schistomeringos,australis,,1,5,1
ZMH-ANN-PE0841,Dorvilleidae,Schistomeringos,australis,,1,5,1
ZMH-ANN-PE0837,Dorvilleidae,Schistomeringos,incerta,,1,5,1
ZMH-ANN-P14830,Dorvilleidae,Schistomeringos,japonica,,1,5,1
ZMH-ANN-P14841,Dorvilleidae,Schistomeringos,japonica,,1,5,1
